"","bc","cc","ec"
"125730",145487,6.10906505582225e-09,3.55469692361574e-17
"125742",2773395,6.7860603618105e-09,0
"125747",42530,5.99349265174533e-09,6.3665302942343e-18
"125760",106232,6.05141531745985e-09,0
"360930",1698704,6.6853978917268e-09,4.49292072651987e-17
"360932",3813898,6.71859156037469e-09,5.18614785904951e-18
"360933",2646939,6.68439529471727e-09,4.29780617350297e-18
"360935",3662880,6.7483457496153e-09,0
"360937",3230426,6.83725110259156e-09,0
"360938",5170333,6.86644965558084e-09,7.20416884496741e-18
"360946",3725838,6.53305585923469e-09,7.13168637829459e-18
"360977",4218699,6.82943311765698e-09,2.32864789287884e-18
"360978",1690127,6.76696670053888e-09,1.74958308643588e-17
"360980",3799868,6.79846544917718e-09,0
"360982",651698,6.62599873900512e-09,0
"360983",3120665,6.45953045200133e-09,1.42713137937743e-18
"360986",2120310,6.18392121662232e-09,0
"360988",1883952,6.1174193038482e-09,0
"360990",7199596,5.94271427997318e-09,0
"360991",2808229,5.64701410581473e-09,1.94070417536903e-17
"360995",1211842,5.33430762072991e-09,5.30473873731648e-18
"360996",1087864,5.24651663961111e-09,5.05134179509873e-17
"360997",1047249,5.19129446178206e-09,4.38059778011959e-19
"360999",1769461,5.34645015156804e-09,0
"361000",387485,5.65850744989904e-09,0
"361001",156111,5.59325294312243e-09,0
"361002",2372175,5.44004995553857e-09,0
"361003",628184,5.30887079925867e-09,2.87041788932279e-17
"361017",863813,4.49079884745999e-09,0
"361020",394616,4.15186027578674e-09,0
"361024",274429,4.44816158575453e-09,0
"361027",1065359,4.67014428104786e-09,0
"361029",35328220,8.46646748211017e-09,0
"361031",26416,8.48469058200427e-09,5.61908131048009e-13
"361032",69557,8.50688267039588e-09,1.03666969684993e-17
"361036",48137,8.38870672563566e-09,0
"361038",19296,8.27691225882263e-09,0
"361041",3159380,7.89115014736276e-09,0
"361042",4711417,7.8446784283558e-09,2.6912407139345e-18
"361043",5029759,7.45983486531318e-09,1.43610680607864e-18
"361044",3776383,7.42802124457758e-09,2.3443379096874e-17
"361045",21117703,7.80903217576344e-09,1.19236465098704e-17
"361047",4403467,7.97708284110619e-09,4.77280125216368e-17
"361048",3581804,7.88877464887659e-09,5.52278548744945e-18
"361050",6181917,8.48733473555228e-09,0
"361058",3635531,6.80564270372373e-09,0
"361059",3790307,8.52185922735438e-09,1.46389566625124e-17
"361060",8159890,8.61017318741038e-09,2.79416885884081e-17
"361062",7138490,8.98094389701883e-09,1.30151385943505e-15
"361068",4014131,9.05261916538469e-09,9.78590797784185e-10
"361069",3404589,9.00550888487593e-09,3.21864593281098e-11
"361070",30102,9.10389219172953e-09,4.50985436866697e-15
"361073",13217986,9.04808625867417e-09,0
"361074",3470833,8.73531922959528e-09,1.11844080410763e-17
"361075",3467754,8.50558010290983e-09,9.96012825163867e-18
"361084",13374444,8.2826282475811e-09,0
"361086",8632123,8.36381201343024e-09,0
"361091",90570,8.25455054224075e-09,0
"361092",83160,8.23351513210847e-09,1.67761005264475e-17
"361093",79175,8.20579536426746e-09,0
"361094",2428619,8.38710537201926e-09,0
"361096",3169123,8.44563697686101e-09,0
"361098",1705995,8.27008436256902e-09,1.47448610164933e-17
"361099",886954,8.21034775224678e-09,1.64253893600413e-17
