"","u","v"
"1","125760","8220750778"
"2","360932","5487025239"
"3","360933","5487025238"
"4","360935","246999012"
"5","360935","251514416"
"6","360937","49889917"
"7","360938","100292096"
"8","360946","36598216"
"9","360977","100812067"
"10","360978","36481033"
"11","360978","36476946"
"12","360982","7839918175"
"13","360983","6352200804"
"14","360988","6431722527"
"15","360990","34819161"
"16","360991","34818713"
"17","360995","989286407"
"18","360996","5569293867"
"19","360997","264542426"
"20","360997","392015132"
"21","360999","34818898"
"22","361000","5593849568"
"23","361001","4414972417"
"24","361002","1377161906"
"25","361017","256420190"
"26","361024","2940401973"
"27","361027","432513930"
"28","361029","1464885480"
"29","361029","4603914566"
"30","361032","26588347"
"31","361032","4146948257"
"32","361036","5389358337"
"33","361038","411736457"
"34","361041","2458010977"
"35","361043","21648029"
"36","361044","361747"
"37","361045","21648012"
"38","361048","25033996"
"39","361050","25033096"
"40","361058","2301514706"
"41","361059","25034403"
"42","361059","361050"
"43","361060","25101533"
"44","361062","6220939829"
"45","361062","25095620"
"46","361068","361069"
"47","361068","25554711"
"48","361069","5763283949"
"49","361073","6665582267"
"50","361074","5359080905"
"51","361074","2137762241"
"52","361075","268408320"
"53","361086","6383863298"
"54","361091","1812196178"
"55","361092","175042439"
"56","361093","250293445"
"57","361094","431175331"
"58","361096","1822082662"
"59","361096","213201643"
"60","361098","202818006"
"61","361100","8615582800"
"62","361100","912272512"
"63","361102","652025834"
"64","361103","652031470"
"65","361103","6267518871"
"66","361104","4720234396"
"67","361104","4720234394"
"68","361105","25273878"
"69","361107","9868298075"
"70","361108","169322498"
"71","361109","1232773567"
"72","361110","94174398"
"73","361112","408479981"
"74","361114","186702854"
"75","361116","5291668659"
"76","361117","3999929421"
"77","361117","272678705"
"78","361118","6406082692"
"79","361120","94243625"
"80","361125","260419670"
"81","361125","6266069339"
"82","361135","253043184"
"83","361136","573456756"
"84","361704","253316556"
"85","361705","21657557"
"86","361706","356385435"
"87","361711","361712"
"88","361712","4250154475"
"89","361715","361740"
"90","361715","361709"
"91","361721","245225569"
"92","361726","2620159849"
"93","361726","361729"
"94","361729","6172739460"
"95","361730","5995910586"
"96","361732","2499815419"
"97","361733","6236632547"
"98","361733","7223004840"
"99","361735","356385445"
"100","361736","356405894"
"101","361737","6752716728"
"102","361739","5995899410"
"103","361740","9576185070"
"104","361742","6475521565"
"105","361744","15859522"
"106","361745","6752716727"
"107","361747","9576185070"
"108","361748","361795"
"109","361749","2272081783"
"110","361752","1981095121"
"111","361752","361747"
"112","361753","361752"
"113","361769","506368933"
"114","361795","1928023436"
"115","366594","792987"
"116","366594","2301514710"
"117","366595","386594431"
"118","366595","1689033"
"119","366603","482835108"
"120","367505","5904976360"
"121","367505","25183389"
"122","367506","25095604"
"123","367506","3335200913"
"124","367510","482156678"
"125","367513","4485800352"
"126","367513","260568406"
"127","367521","786142279"
"128","367521","250524313"
"129","367530","6220939835"
"130","367530","2418577626"
"131","367530","2418577616"
"132","367546","676374317"
"133","367547","16820936"
"134","367548","4692661267"
"135","367548","36600344"
"136","367584","25033633"
"137","367617","36474058"
"138","367881","968051332"
"139","367882","1699822927"
"140","367887","3756425004"
"141","367888","6366040191"
"142","367889","296970563"
"143","367893","9573645911"
"144","367905","27235955"
"145","367906","4187963975"
"146","367908","27233754"
"147","367911","27233732"
"148","367912","27233866"
"149","367912","27233864"
"150","367914","303550258"
"151","367914","27234356"
"152","367917","27323479"
"153","367926","27234933"
"154","367927","27235141"
"155","367928","7924443364"
"156","367928","369328146"
"157","367928","94218636"
"158","367932","94227589"
"159","367937","577328474"
"160","367943","621240917"
"161","367946","669098461"
"162","367950","202118936"
"163","367967","9688723404"
"164","367979","7112415810"
"165","367986","247804696"
"166","367988","117092534"
"167","367989","355323671"
"168","367991","65276882"
"169","367994","7821189663"
"170","367995","7867476109"
"171","367995","7867476092"
"172","367997","123532939"
"173","367997","1651614452"
"174","367998","1284603880"
"175","367999","327547042"
"176","368000","25009018"
"177","368001","5422262858"
"178","368003","368012"
"179","368006","390053"
"180","368006","368007"
"181","368007","6837898400"
"182","368008","25001565"
"183","368009","368008"
"184","368010","25001256"
"185","368010","390043"
"186","368011","390056"
"187","368012","24667178"
"188","368014","411317259"
"189","368015","1784416558"
"190","368041","8438558751"
"191","368041","152748341"
"192","368047","1766131427"
"193","368057","2813796662"
"194","368058","1088436936"
"195","368059","244420732"
"196","368061","648217928"
"197","368064","25290521"
"198","368065","420550826"
"199","368068","6378615530"
"200","368074","2720107789"
"201","368074","2720107786"
"202","368075","268222779"
"203","368077","333682301"
"204","368081","9461378558"
"205","368082","257936412"
"206","368083","1395333954"
"207","368084","14956537"
"208","368086","332483358"
"209","368092","268210812"
"210","368093","5936315383"
"211","368094","6475521578"
"212","368096","432807838"
"213","368096","659769185"
"214","368125","382067"
"215","368126","6220939821"
"216","368126","25095803"
"217","368133","644160"
"218","368138","214885672"
"219","368139","5092153447"
"220","368139","8762164096"
"221","368140","4520839549"
"222","368140","644163"
"223","368142","5334674562"
"224","368143","392897790"
"225","368145","6220939814"
"226","368145","25034462"
"227","368146","7019643770"
"228","368147","6263794058"
"229","368179","4181790789"
"230","368180","2168591572"
"231","368180","1841311666"
"232","368180","8008876960"
"233","368190","683598766"
"234","368190","25554425"
"235","368195","6145448584"
"236","368195","1114192940"
"237","368204","693605057"
"238","368205","6506262918"
"239","368207","6282960241"
"240","368232","24958921"
"241","368233","24958708"
"242","368243","5467645825"
"243","368247","25667904"
"244","368248","25667837"
"245","368249","2705350319"
"246","368250","6620331066"
"247","368252","16820916"
"248","368252","147024224"
"249","368272","3772612395"
"250","368273","5508278443"
"251","368274","34845770"
"252","368286","34845749"
"253","368288","133129321"
"254","368305","34816448"
"255","368305","270731910"
"256","368307","5474974282"
"257","368308","368323"
"258","368313","368310"
"259","368318","21292970"
"260","368319","368318"
"261","368320","368319"
"262","368321","838076532"
"263","368321","368320"
"264","368322","368321"
"265","368323","368325"
"266","368325","368322"
"267","368335","21660970"
"268","368337","31960812"
"269","368341","5996498068"
"270","382015","8045152279"
"271","382016","15035556"
"272","382017","3745434708"
"273","382019","5999759914"
"274","382019","3745435279"
"275","382021","2720107686"
"276","382026","9121226981"
"277","382027","7848658765"
"278","382036","558381613"
"279","382038","3860713595"
"280","382039","432807840"
"281","382039","1455499092"
"282","382050","382052"
"283","382051","3647423363"
"284","382052","6752716731"
"285","382053","9949036441"
"286","382054","6532198453"
"287","382057","6364587212"
"288","382061","382080"
"289","382062","382077"
"290","382064","382076"
"291","382067","382076"
"292","382068","247631812"
"293","382069","382070"
"294","382070","382071"
"295","382072","382073"
"296","382073","4958110960"
"297","382077","382079"
"298","382078","382082"
"299","382078","382063"
"300","382079","382078"
"301","382080","382081"
"302","382081","382073"
"303","382081","2035302"
"304","382082","382076"
"305","382082","382068"
"306","390027","1015891800"
"307","390030","6282793831"
"308","390033","25001256"
"309","390035","507901583"
"310","390035","368011"
"311","390041","390042"
"312","390042","390043"
"313","390042","368009"
"314","390043","390044"
"315","390047","24636708"
"316","390047","390052"
"317","390052","390053"
"318","390056","368010"
"319","390060","368012"
"320","390197","420550824"
"321","390198","1921582936"
"322","390202","6539279030"
"323","390252","368083"
"324","390252","1651614492"
"325","390306","1775836984"
"326","390313","25290181"
"327","390316","25290203"
"328","398709","5816086594"
"329","398767","94161173"
"330","398768","398788"
"331","398769","25273787"
"332","398772","25273878"
"333","398772","15643084"
